Date,Open,High,Low,Close,Adj Close,Volume
2019-08-21,49.610001,49.610001,49.610001,49.610001,39.339664,0
2019-08-22,49.400002,49.400002,49.400002,49.400002,39.173138,0
2019-08-23,48.270000,48.270000,48.270000,48.270000,38.277077,0
2019-08-26,48.709999,48.709999,48.709999,48.709999,38.625984,0
2019-08-27,48.540001,48.540001,48.540001,48.540001,38.491177,0
2019-08-28,48.730000,48.730000,48.730000,48.730000,38.641846,0
2019-08-29,49.400002,49.400002,49.400002,49.400002,39.173138,0
2019-08-30,49.389999,49.389999,49.389999,49.389999,39.165207,0
2019-09-03,48.910000,48.910000,48.910000,48.910000,38.784580,0
2019-09-04,49.450001,49.450001,49.450001,49.450001,39.212788,0
2019-09-05,50.130001,50.130001,50.130001,50.130001,39.752014,0
2019-09-06,50.000000,50.000000,50.000000,50.000000,39.648930,0
2019-09-09,50.000000,50.000000,50.000000,50.000000,39.648930,0
2019-09-10,49.820000,49.820000,49.820000,49.820000,39.506187,0
2019-09-11,50.130001,50.130001,50.130001,50.130001,39.752014,0
2019-09-12,50.320000,50.320000,50.320000,50.320000,39.902683,0
2019-09-13,50.419998,50.419998,50.419998,50.419998,39.981979,0
2019-09-16,50.410000,50.410000,50.410000,50.410000,39.974045,0
2019-09-17,50.549999,50.549999,50.549999,50.549999,40.085064,0
2019-09-18,50.490002,50.490002,50.490002,50.490002,40.037487,0
2019-09-19,50.560001,50.560001,50.560001,50.560001,40.092991,0
2019-09-20,50.230000,50.230000,50.230000,50.230000,39.831310,0
2019-09-23,50.090000,50.090000,50.090000,50.090000,39.720291,0
2019-09-24,49.389999,49.389999,49.389999,49.389999,39.165207,0
2019-09-25,49.660000,49.660000,49.660000,49.660000,39.379311,0
2019-09-26,49.419998,49.419998,49.419998,49.419998,39.188999,0
2019-09-27,48.970001,48.970001,48.970001,48.970001,38.832157,0
2019-09-30,49.250000,49.250000,49.250000,49.250000,39.054195,0
